,City,Country,Max Temp,Lat,Lng,Hotel Name
240,Kruisfontein,ZA,69.76,-34.0033,24.7314,Oyster Bay House Rental
241,Geraldton,AU,75.61,-28.7667,114.6,Broadwater Mariner Resort
242,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
244,Castro,BR,61.39,-24.7911,-50.0119,CHACARA BAILLY
245,Santa Vitoria Do Palmar,BR,67.33,-33.5189,-53.3681,Hostel Comodoro
247,Bontang,ID,76.5,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
249,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
250,Vila Velha,BR,75.94,-20.3297,-40.2925,Quality Suites Vila Velha
251,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
253,Puerto Padre,CU,78.01,21.195,-76.6028,Casa Villa Velázquez
254,Mar Del Plata,AR,62.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
255,Mar Del Plata,AR,62.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
257,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
258,Belmonte,BR,81.1,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
259,Salalah,OM,73.49,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
260,Barentu,ER,63.57,15.1139,37.5928,
262,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
265,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
268,Faya,SA,54.12,18.3851,42.4509,املاك خالد الشعشوع
269,Castro,BR,61.39,-24.7911,-50.0119,CHACARA BAILLY
270,Saldanha,ZA,68.05,-33.0117,17.9442,Blue Bay Lodge
271,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
272,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
273,Olinda,BR,83.93,-8.0089,-34.8553,Pousada Sitio Do Carmo
274,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
275,Puerto Escondido,MX,83.23,15.85,-97.0667,Aldea del Bazar Hotel and Spa
277,Dakar,SN,71.73,14.6937,-17.4441,Redface Studios Meublés
278,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
280,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
281,Hithadhoo,MV,81.19,-0.6,73.0833,Scoop Guest House
282,Bredasdorp,ZA,67.32,-34.5322,20.0403,Bredasdorp Country Manor
286,Geraldton,AU,75.61,-28.7667,114.6,Broadwater Mariner Resort
287,Rio Gallegos,AR,64.45,-51.6226,-69.2181,Hotel Santa Cruz
288,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
290,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
294,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
296,Bantogon,PH,82.35,6.5333,124.0333,Kalamansig Greenhome
299,Mar Del Plata,AR,62.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
302,Biak,ID,76.41,-0.9131,122.8766,Penginapan Kim
303,Castro,BR,61.39,-24.7911,-50.0119,CHACARA BAILLY
